id,box_x1,box_y1,box_x2,box_y2,score
batch_0_img_0,1086.4683,1092.8083,1263.7085,1225.4827,0.110768475
batch_0_img_0,1435.2283,610.56976,1661.7284,833.86566,0.05020457
batch_0_img_1,679.21313,1055.9089,800.32684,1127.5922,0.4248138
batch_0_img_1,620.9236,1030.1675,832.80304,1181.6183,0.15894946
batch_0_img_1,488.93362,1576.3865,628.2329,1682.938,0.115554444
batch_0_img_1,134.70432,1720.3298,273.10776,1817.9219,0.07090666
batch_0_img_2,1411.415,711.79877,1503.9865,782.0723,0.33030805
batch_0_img_2,1223.0846,872.5247,1368.0825,992.88055,0.282245
batch_0_img_2,1124.2426,984.6209,1238.719,1042.5604,0.19369718
batch_0_img_2,1243.5319,897.80914,1341.0192,965.9998,0.17603134
batch_0_img_2,1073.8878,928.55115,1338.4366,1090.7643,0.16917261
batch_0_img_2,1630.6506,820.6676,1717.8756,906.40735,0.16218434
batch_0_img_2,1393.6913,692.3555,1518.9508,805.9103,0.15931699
batch_0_img_2,1599.9412,791.43365,1737.8645,934.9169,0.1463997
batch_0_img_2,1148.2607,802.3932,1398.1982,1010.26135,0.11640502
batch_0_img_2,1086.6128,961.82153,1238.4814,1075.7731,0.102882996
batch_0_img_2,1086.5276,1461.3385,1284.8564,1570.8707,0.07220534
batch_0_img_2,985.65826,883.02673,1404.156,1101.8398,0.07079462
batch_0_img_2,1627.5851,1705.4819,1717.1686,1781.6189,0.06544856
batch_0_img_2,1550.4781,699.06323,1771.4783,944.5926,0.06439332
batch_0_img_2,943.3001,927.9357,1089.7759,1041.905,0.06065091
batch_0_img_2,1245.0482,1384.6785,1492.5939,1572.4207,0.05975151
batch_0_img_2,1132.7349,907.7513,1388.0087,1043.8624,0.05021882
batch_0_img_3,633.4386,1374.4865,800.1585,1470.8237,0.69664055
batch_0_img_3,838.6424,1081.9738,1080.5748,1262.2817,0.20112021
batch_0_img_3,602.59235,932.43896,1292.6583,1450.794,0.19887784
batch_0_img_3,597.9717,1324.8278,839.14545,1518.4697,0.17718577
batch_0_img_3,719.90436,1006.16327,1197.4843,1363.1758,0.15544201
batch_0_img_3,662.7232,1394.6848,767.72375,1471.9073,0.114819765
batch_0_img_3,880.2586,1113.2645,1031.9982,1254.4934,0.09822993
batch_0_img_3,557.4646,602.68304,816.80316,795.52155,0.07182049
batch_0_img_3,887.51526,1016.76215,1117.7933,1209.6837,0.06403007
batch_0_img_3,637.2919,627.02844,783.6787,750.83984,0.061708298
batch_1_img_0,719.4275,1509.3848,891.2211,1610.7622,0.51792395
batch_1_img_0,396.0407,1952.9872,486.58307,2019.4358,0.27579534
batch_1_img_0,862.59784,1360.5885,1025.6387,1486.2249,0.26144582
batch_1_img_0,370.65204,1934.6564,507.98563,2033.5614,0.22805175
batch_1_img_0,892.34955,1385.7649,1003.3694,1462.2886,0.13686725
batch_1_img_0,694.0426,1473.0728,928.69604,1653.4773,0.078061916
batch_1_img_1,280.23703,459.3728,422.85394,557.6477,0.93305326
batch_1_img_1,846.13727,821.01074,926.764,885.28235,0.49225372
batch_1_img_1,703.55316,1217.1014,811.1232,1289.1791,0.3373738
batch_1_img_1,822.9576,800.9708,946.86365,907.76324,0.30539095
batch_1_img_1,1053.1344,570.53143,1138.7474,641.7025,0.24562524
batch_1_img_1,672.5127,1206.9631,817.37964,1321.4536,0.2321101
batch_1_img_1,855.78204,833.01105,902.4157,876.5586,0.1854812
batch_1_img_1,260.55554,422.4443,461.49234,596.9889,0.17544495
batch_1_img_1,472.81384,1078.8423,625.0754,1184.3788,0.1477866
batch_1_img_1,1030.4543,551.8066,1149.4116,672.30597,0.06362133
batch_1_img_1,860.0823,836.80176,891.56354,868.0591,0.059454627
batch_1_img_1,279.27585,1235.8163,417.56146,1350.8158,0.057085242
batch_1_img_2,1028.0233,905.5047,1254.9551,1038.1823,0.7096082
batch_1_img_2,851.89465,808.07495,1623.9318,1229.691,0.5645545
batch_1_img_2,948.32336,873.46405,1380.7908,1091.0548,0.51751846
