id,box_x1,box_y1,box_x2,box_y2,score
P_00001_LEFT_CC,261.98,2367.42,716.21,2874.05,0.8928
P_00001_LEFT_CC,1222.76,2317.27,1466.82,2582.88,0.1232
P_00001_LEFT_CC,635.74,2523.31,1272.49,3190.68,0.0888
P_00001_LEFT_CC,724.91,2444.85,891.21,2616.34,0.0639
P_00001_LEFT_MLO,174.47,341.93,539.44,641.41,0.5558
P_00001_LEFT_MLO,298.69,1026.24,431.24,1152.73,0.4193
P_00001_LEFT_MLO,683.55,304.18,832.46,438.49,0.3482
P_00001_LEFT_MLO,190.42,874.66,595.01,1327.00,0.3359
P_00001_LEFT_MLO,131.25,2833.24,569.63,3333.63,0.0959
P_00001_LEFT_MLO,91.07,2824.79,623.55,3303.85,0.7416
P_00001_LEFT_MLO,298.58,1026.03,430.53,1152.93,0.0814
P_00001_LEFT_MLO,664.29,2557.57,1708.22,3530.86,0.0614
P_00004_LEFT_CC,1660.88,2206.19,2056.69,2553.86,0.1348
P_00004_LEFT_CC,1355.58,3279.30,1900.80,3940.88,0.0601
P_00004_LEFT_CC,1338.82,3310.10,2008.79,4004.08,0.4000
P_00004_LEFT_MLO,2134.27,2696.64,2540.29,3054.01,0.1231
P_00004_LEFT_MLO,1536.18,2963.40,2054.68,3574.97,0.5528
P_00004_RIGHT_MLO,699.63,3761.94,1167.29,4193.55,0.6918
P_00004_RIGHT_MLO,1112.50,2808.55,1721.23,3453.70,0.0574
P_00004_RIGHT_MLO,398.29,3301.87,1425.59,4444.09,0.2289
P_00004_RIGHT_MLO,1113.51,2803.10,1720.05,3457.99,0.0883
P_00005_RIGHT_CC,1567.68,2630.08,2046.49,3191.80,0.2040
P_00005_RIGHT_CC,1330.38,2303.20,1717.84,2661.71,0.1680
P_00005_RIGHT_CC,1805.37,2857.67,1920.76,2966.01,0.1139
P_00005_RIGHT_CC,1620.95,2820.66,1771.46,2971.51,0.0511
P_00005_RIGHT_CC,1626.20,2751.70,1964.78,3046.53,0.1354
P_00005_RIGHT_MLO,1949.73,3796.38,2444.05,4333.14,0.4369
P_00005_RIGHT_MLO,1140.21,3426.50,1511.05,3794.41,0.3823
P_00005_RIGHT_MLO,882.00,2478.26,1421.53,3126.90,0.2629
P_00005_RIGHT_MLO,1624.89,3352.44,2028.15,3694.46,0.2397
P_00005_RIGHT_MLO,1351.24,4011.13,1888.82,4564.61,0.2226
P_00005_RIGHT_MLO,1772.04,3458.92,1866.36,3545.86,0.1562
P_00005_RIGHT_MLO,1413.77,2767.53,1764.20,3164.24,0.1046
P_00005_RIGHT_MLO,1489.09,3228.24,2207.08,3765.21,0.1654
P_00005_RIGHT_MLO,1758.02,3439.16,1888.51,3550.32,0.1622
P_00005_RIGHT_MLO,1263.09,2556.00,1912.43,3270.28,0.1075
P_00005_RIGHT_MLO,1948.49,3794.40,2443.45,4331.68,0.0928
P_00007_LEFT_CC,1550.85,1333.80,1859.83,1631.09,0.2945
P_00007_LEFT_CC,2444.23,1225.98,2875.62,1510.45,0.0776
P_00007_LEFT_CC,2625.41,4039.81,2810.24,4220.36,0.0506
P_00007_LEFT_CC,1635.72,1419.44,1790.90,1568.96,0.0594
P_00007_LEFT_MLO,2153.17,3336.37,2568.51,3734.93,0.4028
P_00007_LEFT_MLO,1903.39,4133.71,2468.99,4679.99,0.3280
P_00007_LEFT_MLO,1230.09,3377.01,1884.15,4066.35,0.2543
P_00007_LEFT_MLO,1168.33,2516.13,1846.85,3159.74,0.1198
P_00007_LEFT_MLO,1510.79,2682.78,1696.59,2875.03,0.0821
P_00007_LEFT_MLO,1429.68,1468.08,2521.34,2658.42,0.0677
P_00007_LEFT_MLO,2239.08,3390.90,2499.44,3692.52,0.3948
P_00007_LEFT_MLO,1230.35,3374.60,1888.42,4070.81,0.1897
P_00007_LEFT_MLO,1306.98,2674.41,1704.33,3028.00,0.1406
P_00007_LEFT_MLO,1902.12,4134.37,2466.17,4674.85,0.0606
P_00008_LEFT_CC,1095.69,2489.51,1341.08,2751.13,0.2377
P_00008_LEFT_CC,1329.29,1776.22,1492.06,1942.80,0.1208
P_00008_LEFT_CC,1349.86,2787.35,1489.67,2908.52,0.0504
P_00008_RIGHT_CC,2226.79,1109.66,2397.17,1298.43,0.4298
P_00008_RIGHT_CC,2244.60,1142.65,2384.49,1274.96,0.0740
P_00008_RIGHT_CC,2487.95,907.91,2827.75,1184.29,0.0538
P_00008_RIGHT_MLO,1345.01,1933.89,1596.68,2183.01,0.2542
P_00008_RIGHT_MLO,1407.38,2032.46,1496.28,2102.42,0.0917
P_00008_RIGHT_MLO,1244.11,1842.99,1717.03,2257.73,0.0867
P_00008_RIGHT_MLO,1394.98,1994.24,1539.36,2122.40,0.0669
P_00009_RIGHT_CC,416.04,2091.67,649.90,2362.71,0.5119
P_00009_RIGHT_CC,248.72,1122.22,761.05,1606.58,0.4305
P_00009_RIGHT_CC,331.44,3115.69,608.80,3420.65,0.3151
P_00009_RIGHT_CC,62.27,976.40,262.53,1180.64,0.1778
P_00009_RIGHT_CC,8.86,3465.37,220.49,3706.10,0.1014
P_00009_RIGHT_CC,22.33,903.91,306.94,1238.19,0.5833
P_00009_RIGHT_CC,291.08,2003.99,793.51,2481.47,0.0993
P_00009_RIGHT_CC,7.57,3405.95,309.08,3679.15,0.0567
P_00009_RIGHT_MLO,362.89,3811.55,948.10,4346.15,0.5254
P_00009_RIGHT_MLO,459.32,2431.06,916.67,2939.15,0.2621
P_00009_RIGHT_MLO,3.24,4294.32,313.05,4680.30,0.1870
P_00009_RIGHT_MLO,806.53,2673.13,1455.60,3335.96,0.0590
P_00009_RIGHT_MLO,459.01,2431.25,916.46,2942.14,0.4166
P_00010_LEFT_CC,297.90,881.51,631.51,1180.07,0.8040
P_00010_LEFT_CC,1494.06,2775.24,1749.27,3022.78,0.3043
P_00010_LEFT_CC,724.69,1428.16,1006.12,1694.65,0.1280
P_00010_LEFT_CC,2328.57,2134.75,2619.69,2433.36,0.0902
P_00010_LEFT_CC,831.93,1525.76,922.82,1600.51,0.0877
P_00010_LEFT_CC,1008.32,2385.54,1648.83,3012.52,0.0542
P_00010_LEFT_CC,352.84,927.01,549.46,1130.14,0.1799
P_00010_LEFT_CC,808.42,1506.96,922.57,1611.68,0.1160
P_00010_LEFT_CC,1001.15,2381.36,1652.76,3013.43,0.1150
P_00010_LEFT_CC,1548.02,2836.35,1678.72,2949.72,0.0517
P_00010_LEFT_MLO,1537.25,3363.01,1845.07,3756.42,0.8118
P_00010_LEFT_MLO,1935.93,3504.75,2257.99,3756.39,0.3756
P_00010_LEFT_MLO,347.55,2502.26,679.80,2800.85,0.3211
P_00010_LEFT_MLO,389.27,3023.03,979.67,3610.10,0.1655
P_00010_LEFT_MLO,1101.31,3130.89,1435.94,3486.48,0.1641
P_00010_LEFT_MLO,1715.04,3064.56,1864.75,3222.05,0.0756
P_00010_LEFT_MLO,1750.65,2030.15,2302.65,2597.10,0.0586
P_00010_LEFT_MLO,677.60,1695.42,941.07,1932.23,0.0548
P_00010_LEFT_MLO,1571.12,1590.34,1908.14,1856.27,0.0534
P_00010_LEFT_MLO,422.25,2960.47,1070.69,3581.38,0.1548
P_00010_LEFT_MLO,1099.37,3130.21,1435.78,3488.53,0.1364
P_00010_LEFT_MLO,1615.48,3497.05,1787.81,3645.96,0.1169
P_00010_LEFT_MLO,272.22,2424.70,765.83,2925.06,0.0668
P_00011_LEFT_CC,2176.46,1291.65,2366.10,1520.45,0.2072
P_00011_LEFT_CC,1800.02,2169.56,2590.33,2915.76,0.0969
P_00011_LEFT_CC,1521.03,2116.39,2667.97,3419.73,0.2130
P_00011_LEFT_CC,2176.62,1290.86,2366.16,1520.75,0.2020
P_00011_LEFT_MLO,2543.47,920.95,2717.31,1107.85,0.2010
P_00011_LEFT_MLO,2044.98,3910.21,2813.20,4561.80,0.1283
P_00011_LEFT_MLO,2231.70,1585.97,2528.76,2021.51,0.1169
P_00011_LEFT_MLO,2317.62,2894.63,2516.95,3111.92,0.1043
P_00011_LEFT_MLO,1509.56,1309.64,2109.36,1884.28,0.0706
P_00011_LEFT_MLO,2421.43,2559.10,2716.74,3011.73,0.0648
P_00011_LEFT_MLO,1876.70,2563.59,2303.70,2892.14,0.1235
P_00011_LEFT_MLO,2316.48,2894.39,2517.67,3111.18,0.0568
P_00011_LEFT_MLO,2184.73,1532.83,2500.82,1986.60,0.0502
P_00012_LEFT_CC,79.07,1115.69,539.78,1537.58,0.1609
P_00012_LEFT_CC,1228.08,3387.44,1900.48,4038.03,0.1455
P_00012_LEFT_CC,79.55,1117.33,541.16,1539.42,0.2387
P_00012_LEFT_CC,578.24,2808.01,1900.02,4134.61,0.1030
P_00012_LEFT_CC,51.43,1065.05,1783.22,2352.34,0.0825
P_00012_LEFT_MLO,1112.00,3114.24,1866.75,3868.17,0.2846
P_00012_LEFT_MLO,461.79,3038.02,1015.85,3638.54,0.2784
P_00012_LEFT_MLO,168.67,1833.42,747.34,2470.18,0.2699
P_00012_LEFT_MLO,1881.98,3967.33,2281.37,4398.22,0.0936
P_00012_LEFT_MLO,1251.09,4081.18,1935.68,4686.56,0.0880
P_00012_LEFT_MLO,2343.94,3092.87,2985.08,3725.23,0.0716
P_00012_LEFT_MLO,132.58,1741.03,806.28,2433.85,0.2490
P_00012_LEFT_MLO,397.52,2954.04,1079.58,3702.54,0.2313
P_00012_LEFT_MLO,1106.75,3110.26,1868.69,3874.59,0.1649
P_00012_LEFT_MLO,1881.50,3964.58,2281.87,4403.07,0.1472
P_00012_LEFT_MLO,979.92,1874.25,1779.34,2483.51,0.0924
P_00012_LEFT_MLO,2199.47,3016.75,2966.88,3739.93,0.0757
P_00013_RIGHT_MLO,1449.88,3811.01,1849.92,4189.31,0.1777
P_00013_RIGHT_MLO,196.84,3656.81,641.28,3999.59,0.0762
P_00013_RIGHT_MLO,1388.86,3765.92,1813.10,4169.93,0.1511
P_00014_LEFT_CC,637.21,2225.59,1232.26,2780.17,0.4091
P_00014_LEFT_CC,1234.91,2574.62,1542.81,2910.53,0.1850
P_00014_LEFT_CC,553.13,1466.68,766.93,1745.09,0.1612
P_00014_LEFT_CC,1157.61,3136.03,1501.04,3489.40,0.0955
P_00014_LEFT_CC,326.63,1088.33,1391.96,1991.61,0.0569
P_00014_LEFT_CC,553.70,1465.79,767.30,1745.99,0.3961
P_00014_LEFT_CC,614.23,2152.13,1197.37,2865.80,0.2435
P_00014_LEFT_CC,318.71,1091.47,1396.32,1990.69,0.0962
P_00014_LEFT_CC,816.31,3063.52,991.88,3227.71,0.0692
P_00014_LEFT_MLO,1043.50,1553.52,1221.85,1779.60,0.5286
P_00014_LEFT_MLO,1074.46,3226.77,1489.04,3503.24,0.2726
P_00014_LEFT_MLO,1568.22,1732.40,1831.61,2051.80,0.2150
P_00014_LEFT_MLO,1038.74,1302.23,1339.25,1623.00,0.0771
P_00014_LEFT_MLO,586.61,931.51,1054.87,1478.71,0.0558
P_00014_LEFT_MLO,613.44,1002.49,958.32,1341.05,0.1603
P_00014_LEFT_MLO,1064.23,1607.12,1200.43,1755.75,0.0791
P_00014_LEFT_MLO,1583.91,1742.15,1868.57,2089.11,0.0693
P_00014_LEFT_MLO,874.66,1271.96,1390.49,1824.81,0.0640
P_00015_LEFT_MLO,339.59,3474.28,650.59,3797.92,0.5924
P_00015_LEFT_MLO,1020.91,3378.43,1407.54,3697.43,0.3994
P_00015_LEFT_MLO,589.07,2325.97,826.85,2575.01,0.3224
P_00015_LEFT_MLO,449.92,3613.16,551.18,3701.27,0.1033
P_00015_LEFT_MLO,1968.65,3163.07,2137.80,3374.51,0.1005
P_00015_LEFT_MLO,1414.06,4337.41,1771.99,4620.05,0.0697
P_00015_LEFT_MLO,605.06,2308.39,840.53,2526.45,0.5654
P_00015_LEFT_MLO,363.79,2055.25,1124.90,2758.54,0.2262
P_00015_LEFT_MLO,1510.01,2724.75,2208.83,3450.96,0.0981
P_00015_LEFT_MLO,1410.66,4339.16,1772.45,4618.53,0.0716
P_00015_LEFT_MLO,439.93,3580.31,562.95,3683.16,0.0608
P_00015_LEFT_MLO,1967.56,3162.31,2138.00,3373.61,0.0544
P_00016_LEFT_CC,1597.93,2293.78,1795.01,2568.15,0.1724
P_00016_LEFT_CC,1636.26,2960.27,1785.52,3166.73,0.1339
P_00016_LEFT_CC,1108.30,2363.47,1614.38,2895.98,0.1229
P_00016_LEFT_CC,1490.95,1114.44,1589.56,1229.78,0.0790
P_00016_LEFT_CC,1019.85,2228.51,1759.27,2989.27,0.7729
P_00016_LEFT_CC,1636.19,2959.30,1785.74,3167.90,0.0687
P_00016_LEFT_CC,1254.50,868.02,1786.54,1392.11,0.0514
P_00016_LEFT_MLO,1839.28,1419.52,2009.75,1824.72,0.2523
P_00016_LEFT_MLO,1570.23,3546.54,2009.75,4261.33,0.0583
P_00016_LEFT_MLO,1564.99,3602.83,1997.04,4106.97,0.8172
P_00016_LEFT_MLO,767.00,2480.16,2009.75,4395.69,0.1995
P_00017_LEFT_CC,1982.32,3394.45,2230.65,3608.69,0.1407
P_00017_LEFT_CC,169.67,3657.60,454.43,3983.48,0.0948
P_00017_LEFT_CC,212.26,3734.75,403.90,3910.45,0.7288
P_00017_LEFT_CC,22.02,3452.20,609.20,4179.85,0.1037
P_00017_LEFT_MLO,484.97,705.00,739.33,1024.89,0.5226
P_00017_LEFT_MLO,158.47,3753.38,417.65,4058.47,0.2276
P_00017_LEFT_MLO,158.73,3754.12,417.35,4059.23,0.4980
P_00018_RIGHT_CC,1856.11,1338.46,2270.38,1708.75,0.8009
P_00018_RIGHT_CC,1260.45,2308.62,1535.57,2623.79,0.2582
P_00018_RIGHT_CC,1482.13,1936.53,1761.90,2214.78,0.1898
P_00018_RIGHT_CC,1953.02,1388.44,2229.87,1634.35,0.0999
P_00018_RIGHT_CC,1506.11,1129.88,2566.77,1919.84,0.0551
P_00018_RIGHT_MLO,1462.32,2024.78,1798.80,2425.94,0.8267
P_00018_RIGHT_MLO,1038.60,3015.97,1465.18,3455.64,0.2893
P_00018_RIGHT_MLO,961.10,2569.41,1457.39,3055.14,0.0799
P_00018_RIGHT_MLO,1504.85,2867.36,1846.46,3168.86,0.0732
P_00018_RIGHT_MLO,1145.88,1990.40,1822.00,2622.83,0.1020
P_00018_RIGHT_MLO,1007.52,2544.61,1510.38,3179.55,0.0705
P_00019_RIGHT_CC,97.75,1193.64,541.70,1518.78,0.1432
P_00019_RIGHT_CC,1562.73,2209.46,2362.98,2991.35,0.0949
P_00019_RIGHT_CC,130.31,1189.92,589.36,1569.21,0.4082
P_00019_RIGHT_CC,1560.00,2206.08,2363.15,2992.96,0.3484
P_00019_RIGHT_MLO,1027.84,5325.37,1533.60,5784.52,0.0836
P_00019_RIGHT_MLO,1721.64,2436.23,2220.89,2881.79,0.0719
P_00019_RIGHT_MLO,1478.42,5572.29,1638.37,5705.66,0.0923
P_00020_LEFT_CC,449.28,1398.88,656.38,1641.01,0.3969
P_00020_LEFT_CC,15.13,1878.20,490.65,2560.04,0.2621
P_00020_LEFT_CC,15.72,1872.98,489.99,2562.61,0.1454
P_00020_LEFT_MLO,890.70,2420.72,1247.90,2784.73,0.5459
P_00020_LEFT_MLO,498.92,2346.39,837.26,2665.27,0.4492
P_00020_LEFT_MLO,540.57,2298.26,827.78,2639.23,0.2847
P_00020_LEFT_MLO,948.11,2446.72,1225.63,2707.08,0.0566
P_00021_LEFT_CC,768.71,1092.01,1208.66,1497.08,0.7721
P_00021_LEFT_CC,1096.33,1339.48,1514.03,1790.61,0.1731
P_00021_LEFT_CC,917.47,1283.85,1048.13,1403.23,0.1206
P_00021_LEFT_CC,898.64,1592.09,1219.59,1881.37,0.1149
P_00021_LEFT_CC,1313.70,2305.95,1451.49,2476.46,0.1226
P_00021_LEFT_CC,898.03,1590.92,1220.01,1883.11,0.1035
P_00021_LEFT_CC,874.44,1204.13,1090.48,1426.04,0.0979
P_00021_LEFT_CC,1096.20,1337.79,1510.92,1792.10,0.0961
P_00021_LEFT_MLO,1468.69,2120.50,1662.20,2350.53,0.4816
P_00021_LEFT_MLO,1500.92,2131.59,1656.06,2294.08,0.1049
P_00021_LEFT_MLO,1664.56,2850.80,1799.97,3020.18,0.0711
P_00021_RIGHT_CC,1615.93,2151.72,1840.86,2373.72,0.5706
P_00021_RIGHT_CC,1650.78,2196.81,1800.37,2324.44,0.2360
P_00021_RIGHT_CC,1455.25,2030.61,1957.39,2500.74,0.1295
P_00021_RIGHT_MLO,2443.78,178.97,2733.56,593.48,0.0672
P_00022_LEFT_CC,913.90,2215.23,1503.27,2786.90,0.2297
P_00022_LEFT_CC,1008.04,2381.55,1134.32,2505.65,0.1202
P_00022_LEFT_CC,961.55,3251.35,1263.62,3568.51,0.1192
P_00022_LEFT_CC,1813.79,2497.14,1967.97,2643.73,0.1108
