id,box_x1,box_y1,box_x2,box_y2,score
000135,2472.53,2359.49,2522.55,2399.72,0.0800
000135,2006.62,915.85,2101.91,1009.72,0.3074
000135,1712.93,1609.06,1963.00,1786.89,0.2083
000135,2469.17,2355.62,2536.96,2419.58,0.1892
000136,922.97,1879.16,1009.12,1968.09,0.0598
000136,0.00,90.02,86.53,438.69,0.4601
000136,883.58,1893.26,1053.22,2096.19,0.0669
000136,1.80,2956.37,95.87,3130.08,0.0621
000136,156.14,1236.32,377.16,1457.43,0.0597
000137,326.42,1922.15,433.83,2036.45,0.0634
000138,1527.93,1624.07,1946.52,2010.71,0.2444
000138,1583.73,2519.67,1843.43,2659.90,0.1419
000138,1684.24,1948.86,1902.22,2187.05,0.0875
000138,2436.97,2633.30,2512.39,2701.34,0.0787
100151,1613.18,1150.79,1859.77,1367.32,0.1353
100151,1425.15,2212.43,1587.77,2416.92,0.1006
100151,1820.93,848.97,1962.43,988.73,0.3706
100151,1483.09,1483.73,1587.61,1591.45,0.3394
100151,1938.62,1616.63,2143.15,1813.61,0.1470
100151,1601.35,1519.26,1772.20,1699.08,0.1090
100151,1516.15,2751.79,1615.10,2843.99,0.0839
100151,1468.27,1855.07,1847.47,2253.12,0.0527
100152,1010.72,2532.92,1169.53,2724.47,0.2185
100152,1023.48,1987.56,1231.90,2199.85,0.0867
100152,958.77,2396.96,1024.90,2457.08,0.0784
100152,951.60,1503.75,1156.61,1738.21,0.0642
100152,952.15,1502.95,1156.88,1740.10,0.5737
100152,1024.24,1987.00,1232.65,2201.01,0.4851
100152,1010.97,2532.42,1169.60,2724.81,0.4394
100152,274.99,998.10,938.04,1670.87,0.2854
100152,1266.90,2148.74,1361.78,2252.39,0.1186
100152,975.08,2403.59,1035.94,2458.84,0.0707
100153,171.44,77.05,307.21,175.42,0.1758
100153,994.89,2792.30,1085.13,2865.86,0.0669
100153,1040.05,2206.51,1266.42,2528.05,0.7460
100153,956.47,2710.33,1090.27,2867.48,0.3184
100153,2.43,104.27,84.56,286.94,0.0856
100153,891.42,2378.72,1025.07,2519.11,0.0777
100154,2314.76,64.77,2472.20,173.90,0.3012
100154,1554.25,402.80,1636.94,495.70,0.1324
100154,1292.96,1252.09,1458.06,1449.23,0.1252
100154,1279.26,1221.34,1482.46,1465.06,0.5183
100154,1581.93,2234.75,1737.81,2382.58,0.4302
100154,1552.88,1205.97,2019.89,1655.65,0.2237
100154,1554.17,401.93,1636.83,495.57,0.1149
100154,1753.79,2522.23,2016.92,2699.44,0.0757
100154,1158.78,1678.62,1285.08,1900.66,0.0596
105545,2809.80,1930.93,2922.83,2022.79,0.1312
105545,2774.51,1927.27,2911.24,2050.06,0.4307
105546,845.35,1186.65,1067.23,1386.53,0.6131
105546,844.97,1186.67,1067.62,1386.11,0.0941
105547,1237.32,1466.06,1429.29,1652.22,0.6933
105547,1237.47,1466.03,1429.68,1651.96,0.0750
105548,2254.34,1163.86,2370.26,1271.92,0.0509
105548,3197.40,2857.03,3325.12,3149.56,0.4712
105548,2465.95,1608.70,2569.71,1695.45,0.0985
105549,2945.33,1319.26,3048.68,1406.81,0.0941
105549,2937.74,1317.21,3070.80,1449.75,0.5731
105551,1227.50,961.85,1352.92,1058.00,0.6062
105551,1179.65,926.73,1383.15,1098.08,0.1342
105552,1421.11,1504.39,1596.85,1686.25,0.7445
105552,54.98,83.70,242.48,267.25,0.0722
105552,33.63,44.72,237.33,283.66,0.3076
105552,1151.42,1845.00,1345.72,2035.11,0.1739
105552,1432.84,1527.60,1578.76,1680.02,0.0773
105553,2469.09,2945.99,2557.91,3167.49,0.0905
111358,2139.94,1631.59,2315.46,1910.30,0.1473
111358,2656.49,1680.39,2927.33,1910.23,0.1094
111358,2332.71,1244.81,2547.82,1508.27,0.0693
111358,2786.99,1097.47,3319.11,1489.70,0.2435
111358,2117.46,1583.14,2372.36,1926.12,0.2283
111358,2297.96,1240.88,2572.79,1528.51,0.1342
111358,2657.37,1681.25,2927.75,1910.85,0.0859
111359,731.48,1543.64,934.59,1832.47,0.1572
111359,1220.19,1212.93,1396.51,1457.88,0.0622
111359,442.39,1196.40,735.21,1520.17,0.7684
111359,604.73,1406.64,918.06,1719.92,0.4529
111359,1196.01,1142.99,1414.90,1470.36,0.3657
111359,884.20,1815.74,1019.38,2001.73,0.1645
111359,1032.11,2037.95,1281.13,2337.78,0.1451
111360,817.92,2662.48,922.34,2758.70,0.1758
111360,439.34,143.64,525.56,225.78,0.1006
111360,1442.55,1686.87,1591.22,2001.47,0.0608
111360,944.24,1494.10,1050.72,1601.44,0.0607
111360,1145.07,2429.71,1417.69,2678.92,0.0501
111360,1184.21,2445.41,1407.68,2643.39,0.6729
111360,1148.12,1477.42,1534.46,1963.39,0.3296
111360,808.20,2642.43,940.33,2788.15,0.2059
111360,944.31,1494.02,1051.37,1601.71,0.1616
111360,665.06,2512.09,877.04,2697.13,0.1249
111360,811.31,1801.73,1100.76,2161.04,0.0949
111361,1809.02,2267.50,2028.56,2448.91,0.5626
111361,1657.61,2552.00,1931.26,2754.82,0.2772
111361,1682.21,2088.05,2051.74,2503.38,0.4822
111361,1031.41,1672.39,1211.92,2000.84,0.4609
111361,1257.81,2348.16,1610.98,2704.27,0.2567
111361,1089.36,1982.03,1294.09,2231.90,0.1608
111361,1657.49,2551.90,1930.38,2754.12,0.1439
111361,2437.30,1219.76,2521.56,1317.60,0.1235
111361,1856.87,2330.59,1982.89,2429.27,0.1024
111361,1733.67,1290.15,1947.28,1519.57,0.0780
111361,1022.21,2195.19,1223.04,2436.42,0.0650
111362,2214.04,880.17,2468.54,1053.88,0.1146
111362,1307.90,1590.72,1433.53,1723.30,0.0688
111362,1150.51,1500.19,1245.93,1679.40,0.0535
111362,1127.71,1495.32,1309.69,1701.36,0.3426
111362,1333.05,1217.57,1591.96,1452.38,0.3365
111362,2142.89,820.11,2514.54,1238.14,0.0698
111363,449.02,1141.64,829.29,1569.25,0.5844
111363,549.51,743.54,856.20,945.62,0.5123
111363,1110.54,1138.66,1340.81,1437.63,0.1981
111363,851.48,1837.08,1074.46,2070.52,0.1242
111363,697.11,1550.57,853.31,1758.31,0.0521
111364,1844.30,2382.93,2106.53,2544.92,0.7809
111364,2104.64,2141.33,2266.87,2276.64,0.7028
111364,2115.05,1954.37,2210.66,2049.65,0.2312
111364,1342.82,2268.72,1507.92,2433.36,0.1656
111364,1372.13,2097.60,1485.97,2226.75,0.1339
111364,1232.40,1504.94,1459.60,1893.69,0.6442
111364,1352.04,2300.06,1486.21,2406.11,0.3288
111364,1335.97,2025.47,1800.23,2429.31,0.2734
111364,1937.65,1942.45,2344.40,2323.32,0.1704
111364,1770.19,2374.82,2132.67,2543.18,0.1667
111364,2115.76,2166.73,2251.25,2275.92,0.1280
111364,2133.54,1987.21,2194.32,2039.51,0.1061
111364,1233.27,2136.09,1368.67,2324.52,0.0870
111365,674.07,2287.54,1074.44,2603.56,0.0793
111365,630.80,2258.54,1070.15,2652.37,0.6323
111365,726.63,1327.37,1093.49,1762.83,0.2398
111365,1104.45,1688.64,1597.25,2538.28,0.1033
121174,1368.58,2048.88,1530.93,2213.02,0.2301
121174,3257.56,3696.56,3327.00,3988.56,0.3991
121174,1392.41,2079.08,1517.60,2205.35,0.3426
121176,1604.70,1707.80,1902.59,1924.67,0.3168
121176,1878.33,2572.36,2156.68,2816.14,0.2977
121176,2225.69,2146.30,2408.91,2361.73,0.1492
121176,2819.94,2202.48,2936.16,2300.43,0.1239
121176,1399.27,2196.64,1798.05,2597.87,0.0925
121176,1570.24,2407.11,1662.31,2488.34,0.0848
121176,1669.43,1799.74,1732.40,1846.37,0.0845
121176,1946.95,3030.56,2079.89,3134.75,0.0835
121176,1438.72,1821.30,1577.73,1941.58,0.0803
121176,1811.80,2298.93,1978.11,2450.65,0.0779
121176,1801.58,2251.64,2032.69,2477.48,0.4541
121176,1359.55,2262.00,1719.28,2490.88,0.4339
121176,1901.11,2602.40,2089.44,2775.02,0.2337
121176,1669.30,1799.86,1732.60,1846.44,0.2044
121176,1570.07,2407.11,1662.82,2487.92,0.1744
121176,1604.25,1708.56,1901.61,1924.13,0.1463
121176,1346.35,1987.85,2643.47,2719.41,0.1092
121176,1444.61,1852.74,1542.70,1936.18,0.0903
121176,1946.19,3030.13,2080.50,3134.41,0.0796
121176,1862.72,2001.35,1977.44,2105.09,0.0771
121176,2819.83,2202.25,2936.23,2299.78,0.0726
121176,2217.35,2181.48,2383.90,2388.88,0.0636
121176,2485.78,2056.35,2607.08,2196.46,0.0576
121179,2308.49,2505.97,2476.96,2664.35,0.2847
121179,1727.83,1349.24,1863.10,1477.66,0.1156
121179,2048.44,1730.60,2356.60,1974.29,0.1008
121179,1676.80,2667.58,1924.21,2912.74,0.0946
121179,2502.62,2620.74,2653.26,2786.91,0.5088
121179,1713.23,2709.03,1882.81,2877.44,0.3634
121179,2047.36,1730.74,2357.71,1973.98,0.2387
121179,2297.02,2431.85,2556.77,2704.90,0.1756
121179,2311.27,1895.81,2619.04,2119.25,0.0996
121179,2359.24,2545.31,2438.20,2607.12,0.0936
121179,2699.96,2786.93,2776.30,2885.02,0.0668
121179,2765.59,1835.25,2856.53,1931.74,0.0511
121179,1726.75,1349.11,1863.18,1477.33,0.0506
121182,2540.41,2683.43,2674.87,2820.36,0.0800
121370,3044.24,2573.21,3303.53,2932.27,0.1078
121373,1578.59,903.60,1664.97,1011.34,0.0528
121377,2262.95,2160.52,2480.89,2395.59,0.0548
121381,977.77,1011.45,1134.21,1137.22,0.0768
121381,1799.59,545.96,1906.17,612.06,0.0551
121390,2641.67,1127.63,3315.74,1968.18,0.1188
121393,2955.26,3117.95,3305.95,3433.89,0.0660
121398,1784.70,1811.38,1888.43,1915.93,0.0858
121398,1811.12,1832.77,1882.66,1890.22,0.0521
121401,2227.79,2259.81,2408.95,2462.17,0.6634
121401,2178.22,2234.32,2411.27,2477.70,0.1182
121403,2974.00,3027.12,3235.03,3288.68,0.3029
121403,2971.80,3027.52,3234.21,3289.78,0.1388
121403,1940.73,1783.34,2071.06,1882.69,0.0501
134054,2471.99,2994.50,2558.39,3112.45,0.6250
134054,2097.44,1136.23,2355.56,1365.03,0.4397
134054,1795.16,1377.18,2223.34,1726.79,0.1187
134054,1621.61,1780.63,1736.08,1900.68,0.0643
134054,1566.36,1145.36,1786.81,1357.67,0.0598
